states,flag,Avg0,SD0,frust0,time
0_0_3_0_3_3_1_1_3_3_3_3_3_3_3_3_0_0_0_0_0_1_0,1,0.17557999999999999,0.0010125545252808127,0.02247191011235955,179.05761989181204
3_3_0_3_0_0_2_2_0_0_0_0_0_0_0_0_3_3_3_3_3_2_3,1,0.17513333333333336,0.0012094167556673215,0.02247191011235955,179.59173078071845
3_3_0_2_0_0_1_2_0_0_0_0_0_0_0_0_3_3_3_3_3_1_3,1,0.13856,0.0006358196809368789,0.03089887640449438,196.72088100082144
0_0_3_1_3_3_2_1_3_3_3_3_3_3_3_3_0_0_0_0_0_2_0,1,0.13837333333333332,0.0009322493705489385,0.03089887640449438,197.2850861176851
1_1_2_1_2_2_1_1_2_2_2_2_2_2_2_2_1_1_1_1_1_1_1,1,0.08129333333333334,0.00031794478905760784,0.011235955056179775,162.32498042389562
2_2_1_2_1_1_2_2_1_1_1_1_1_1_1_1_2_2_2_2_2_2_2,1,0.08056666666666668,0.0009716423667630393,0.011235955056179775,161.44829090689123
1_1_2_3_2_2_2_2_2_2_2_2_2_2_2_2_1_1_1_1_1_2_1,1,0.02242,0.00032690467519854637,0.03932584269662921,131.7514111006151
2_2_1_1_1_1_1_2_1_1_1_1_1_1_1_1_2_2_2_2_2_1_2,0,0.021666666666666667,0.0004205023450852829,0.019662921348314606,999.9179920753417
2_2_1_0_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_1_2,1,0.021493333333333333,0.0004288226776756198,0.03932584269662921,132.2889519136812
1_1_2_2_2_2_2_1_2_2_2_2_2_2_2_2_1_1_1_1_1_2_1,0,0.021209999999999996,0.00021924111536540553,0.019662921348314606,999.9209670124586
1_1_2_2_2_2_2_2_2_2_2_2_2_2_2_2_1_1_1_1_1_2_1,0,0.02097666666666667,0.00046578488120113497,0.033707865168539325,999.9150849809242
2_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_1_2,0,0.02054,0.000756703376495704,0.033707865168539325,999.918287692299
1_2_2_2_1_2_2_2_2_2_2_1_2_2_1_1_1_2_2_2_2_2_1,1,0.010979999999999998,0.00033950945004029923,0.0702247191011236,139.79726516688154
2_1_1_1_2_1_1_1_1_1_1_2_1_1_2_2_2_1_1_1_1_1_2,1,0.010913333333333332,0.00032887011958454955,0.0702247191011236,142.2636242251473
2_2_1_2_1_1_1_2_1_1_1_1_1_1_1_1_2_2_2_2_2_1_2,1,0.006786666666666667,0.00013912424503139455,0.016853932584269662,151.25173469184276
1_1_2_1_2_2_2_1_2_2_2_2_2_2_2_2_1_1_1_1_1_2_1,1,0.006600000000000001,0.00022992752481307388,0.016853932584269662,148.6319989803068
1_2_2_2_1_2_2_2_2_2_2_1_2_3_1_1_1_2_2_2_2_2_0,1,0.00638,0.00010614455552060431,0.08146067415730338,137.07129334983395
2_1_1_1_2_1_1_1_1_1_1_2_1_0_2_2_2_1_1_1_1_1_3,1,0.006376666666666667,0.00018732028424302822,0.08146067415730338,135.16237901960923
3_3_0_2_0_0_0_2_0_0_0_0_0_0_0_0_3_3_3_3_3_0_3,1,0.00233,6.164414002968977e-5,0.047752808988764044,121.46025641025642
0_0_3_1_3_3_3_1_3_3_3_3_3_3_3_3_0_0_0_0_0_3_0,1,0.0023266666666666666,9.46337971105225e-5,0.047752808988764044,123.05437162580019
1_2_2_2_1_2_2_2_2_2_2_1_2_3_1_1_1_2_2_2_2_2_2,1,0.0022233333333333332,0.0001970335560817553,0.08426966292134831,140.27248819259435
1_1_2_2_2_2_3_2_2_2_2_2_2_2_2_2_1_1_1_1_1_3_1,0,0.00218,8.485281374238552e-5,0.042134831460674156,999.9482345122515
2_2_1_1_1_1_0_1_1_1_1_1_1_1_1_1_2_2_2_2_2_0_2,0,0.0021166666666666664,0.00016858891488535723,0.042134831460674156,999.9528355162583
2_1_1_1_2_1_1_1_1_1_1_2_1_0_2_2_2_1_1_1_1_1_1,1,0.0021133333333333334,6.236095644623232e-5,0.08426966292134831,141.56125349234145
1_2_2_2_1_2_2_2_2_2_2_1_2_3_1_2_1_2_2_1_2_2_2,1,0.0009166666666666666,6.18241233033047e-5,0.09269662921348315,127.38290982704557
2_1_1_1_2_1_1_1_1_1_1_2_1_1_2_2_2_1_1_1_1_1_1,0,0.00071,3.559026084010438e-5,0.07584269662921349,999.9445566174601
2_1_1_1_2_1_1_1_1_1_1_2_1_0_2_1_2_1_1_2_1_1_1,1,0.0006900000000000001,3.559026084010436e-5,0.09269662921348315,129.36564293166404
0_0_3_3_3_3_3_1_3_3_3_3_3_3_3_3_0_0_0_0_0_3_0,0,0.0006433333333333333,0.00010208928554075702,0.06460674157303371,999.9744814090019
1_2_2_2_1_2_2_2_2_2_2_1_2_2_1_1_1_2_2_2_2_2_2,0,0.0006333333333333333,2.0548046676563263e-5,0.07584269662921349,999.9420000157706
3_3_0_0_0_0_0_2_0_0_0_0_0_0_0_0_3_3_3_3_3_0_3,0,0.0005533333333333333,5.557777333511023e-5,0.06460674157303371,999.9240950384346
2_2_1_2_1_0_2_2_1_2_2_1_2_3_1_1_3_2_2_2_2_2_2,1,0.0005300000000000001,2.8284271247461923e-5,0.08426966292134831,115.70871985157699
2_1_1_1_3_1_2_0_1_1_1_3_1_0_2_2_2_1_1_1_1_2_3,1,0.0005166666666666667,1.6996731711975944e-5,0.12078651685393259,117.93914306463326
1_1_2_1_2_3_1_1_2_1_1_2_1_0_2_2_0_1_1_1_1_1_1,1,0.00051,2.1602468994692848e-5,0.08426966292134831,112.70746653765521
2_1_1_1_2_1_1_1_1_1_1_2_1_1_2_1_2_1_1_2_1_1_2,1,0.0004933333333333334,2.8674417556808744e-5,0.08146067415730338,118.76890838369802
1_2_2_2_1_2_2_2_2_2_2_1_2_2_1_2_1_2_2_1_2_2_1,1,0.00045333333333333337,7.133644853010899e-5,0.08146067415730338,114.18719632061125
