states,flag,Avg0,SD0,frust0,time
0_1_1_0,1,0.28320000000000006,0.0014719601443879758,0.0,10.50972376421479
1_0_0_1,1,0.2803,0.004397726685459199,0.0,10.55443667157671
1_1_0_1,1,0.1258,0.0028083209693100775,0.2857142857142857,10.257758743720162
0_0_1_0,1,0.12503333333333333,0.0017441967269268212,0.2857142857142857,10.30151942306271
1_1_0_0,1,0.09349999999999999,0.0012569805089976485,0.42857142857142855,10.005324813631523
0_0_1_1,1,0.09216666666666667,0.0010498677165349081,0.42857142857142855,10.0
