states,flag,Avg0,SD0,frust0,time
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,1,0.4800333333333333,0.002380942857123809,0.013333333333333334,87.50934329146882
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,1,0.47856666666666664,0.00240878023535194,0.013333333333333334,88.0861156165614
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_0,1,0.019866666666666668,0.0009030811456096033,0.29333333333333333,67.3968664977953
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_1,1,0.01896666666666667,0.000703957069398096,0.29333333333333333,70.96461322276569
0_1_0_1_1_1_1_0_1_1_1_0_0_0_1_1_1_1_1,0,0.0008,0.0001414213562373095,0.32,999.8571428571429
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0,0,0.0004333333333333333,0.00016996731711975947,0.32,999.8777777777777
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_1_0_0,0,0.0004,0.0001414213562373095,0.3466666666666667,1000.0
0_1_0_1_1_1_1_0_1_1_1_0_1_0_1_1_0_1_1,0,0.00036666666666666667,0.00012472191289246472,0.3466666666666667,1000.0
0_1_0_1_0_1_1_0_1_1_1_0_1_0_1_1_0_1_1,0,6.666666666666667e-5,9.428090415820635e-5,0.41333333333333333,999.0
0_1_1_0_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,0,6.666666666666667e-5,4.7140452079103176e-5,0.04,999.5
0_1_0_1_0_1_1_0_1_1_1_0_0_0_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.36,999.0
0_0_0_1_0_1_1_0_0_1_1_0_1_0_1_1_0_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.4,1000.0
0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.12,1000.0
0_0_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.06666666666666667,1000.0
0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.25333333333333335,999.0
0_0_0_1_0_1_1_0_1_1_1_0_1_0_1_1_0_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.38666666666666666,1000.0
1_0_0_1_0_0_0_0_0_1_0_0_0_0_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.2,1000.0
1_0_0_0_0_0_0_0_0_1_0_0_1_1_1_1_1_1_1,0,3.3333333333333335e-5,4.714045207910317e-5,0.28,1000.0
1_1_1_0_1_0_1_1_1_0_1_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.714045207910317e-5,0.28,1000.0
0_0_0_1_0_1_1_0_1_1_0_0_0_0_1_1_1_1_1,0,3.3333333333333335e-5,4.714045207910317e-5,0.32,1000.0
1_0_0_0_0_0_0_0_0_1_0_0_0_1_1_1_1_1_1,0,3.3333333333333335e-5,4.714045207910317e-5,0.12,1000.0
1_1_1_0_1_0_0_1_0_0_1_1_1_1_0_0_0_0_0,0,3.3333333333333335e-5,4.714045207910317e-5,0.32,1000.0
0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,0,3.3333333333333335e-5,4.714045207910317e-5,0.17333333333333334,1000.0
