states,flag,Avg0,SD0,frust0,time
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,1,0.4942333333333333,0.00519123192401272,0.03896103896103896,136.0691063410239
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1,1,0.4869333333333333,0.005430981085913986,0.06493506493506493,132.93569476163086
0_1_0_0_1_1_1_0_1_1_1_0_0_1_1_1_1_1_1_0,0,0.0074,8.164965809277247e-5,0.2857142857142857,999.9459393640215
0_1_0_0_1_1_1_0_1_1_1_0_0_1_1_1_1_1_0_0,0,0.007366666666666667,0.0003681787005729086,0.3116883116883117,999.9670674018499
0_1_0_0_0_1_1_0_1_1_1_0_0_1_1_1_1_1_1_0,0,0.0005,8.164965809277258e-5,0.37662337662337664,999.2222222222222
0_1_0_0_0_1_1_0_1_1_1_0_0_1_1_1_1_1_0_0,0,0.00046666666666666666,0.00020548046676563254,0.4025974025974026,999.0714285714286
1_0_0_0_0_0_0_0_0_1_0_0_0_1_1_1_1_1_1_1,0,0.00036666666666666667,4.714045207910318e-5,0.14285714285714285,999.875
1_0_0_0_0_1_0_0_0_1_0_0_0_1_1_1_1_1_0_1,0,0.00016666666666666666,4.714045207910317e-5,0.24675324675324675,999.75
1_0_0_0_0_0_0_0_0_1_0_0_0_1_1_1_1_1_0_1,0,0.00016666666666666666,4.714045207910317e-5,0.16883116883116883,1000.0
0_0_0_0_0_1_1_0_1_1_0_0_0_1_1_1_1_1_1_1,0,0.00013333333333333334,4.7140452079103176e-5,0.3116883116883117,1000.0
1_0_0_0_0_1_0_0_0_1_0_0_0_1_1_1_1_1_1_1,0,0.0001333333333333333,0.0001247219128924647,0.22077922077922077,1000.0
0_0_0_0_0_1_1_0_1_1_0_0_0_1_1_1_1_1_1_0,0,0.0001,0.0,0.33766233766233766,1000.0
0_0_0_0_0_1_1_0_0_1_0_0_0_1_1_1_1_1_1_1,0,0.0001,0.0,0.2727272727272727,1000.0
0_1_0_0_0_1_1_0_1_1_0_0_0_1_1_1_1_1_1_0,0,0.0001,0.0,0.36363636363636365,1000.0
1_0_0_0_0_1_1_0_0_1_0_0_0_1_1_1_1_1_0_1,0,0.0001,8.164965809277261e-5,0.2727272727272727,1000.0
0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1,0,6.666666666666667e-5,4.7140452079103176e-5,0.16883116883116883,1000.0
0_0_0_0_0_1_1_0_1_1_0_0_0_1_1_1_1_1_0_1,0,6.666666666666667e-5,4.7140452079103176e-5,0.33766233766233766,1000.0
0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,0,6.666666666666667e-5,4.714045207910317e-5,0.14285714285714285,1000.0
1_0_0_0_0_0_1_0_0_1_0_0_0_1_1_1_1_1_0_1,0,6.666666666666667e-5,4.714045207910317e-5,0.19480519480519481,1000.0
1_0_0_0_0_0_0_0_0_0_1_0_0_1_1_1_1_1_0_1,0,6.666666666666667e-5,4.714045207910317e-5,0.12987012987012986,1000.0
0_0_0_0_0_0_0_0_0_1_0_0_0_1_1_1_1_1_0_1,0,6.666666666666667e-5,9.428090415820635e-5,0.24675324675324675,1000.0
0_0_0_0_0_0_0_0_0_1_0_0_0_1_1_1_1_1_1_1,0,6.666666666666667e-5,9.428090415820635e-5,0.22077922077922077,999.5
0_0_0_0_0_1_1_0_1_1_1_0_0_1_1_1_1_1_1_1,0,6.666666666666667e-5,9.428090415820635e-5,0.3246753246753247,999.5
1_0_0_0_0_1_0_0_0_1_0_0_0_1_1_1_1_1_0_0,0,6.666666666666667e-5,9.428090415820634e-5,0.2727272727272727,1000.0
1_0_0_0_0_1_1_0_0_1_0_0_0_1_1_1_1_1_1_1,0,6.666666666666667e-5,9.428090415820634e-5,0.24675324675324675,1000.0
0_0_0_0_0_1_0_0_0_1_0_0_0_1_1_1_1_1_1_1,0,6.666666666666667e-5,9.428090415820634e-5,0.2727272727272727,1000.0
1_1_0_0_0_0_1_0_0_1_0_0_0_1_1_1_1_1_1_1,0,6.666666666666667e-5,9.428090415820634e-5,0.22077922077922077,1000.0
1_0_0_0_0_1_0_0_0_1_0_0_0_1_1_1_1_1_1_0,0,6.666666666666667e-5,9.428090415820634e-5,0.24675324675324675,1000.0
0_1_0_0_0_1_0_0_0_1_0_0_0_1_1_1_1_1_1_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.35064935064935066,999.0
0_0_0_0_0_1_1_0_0_1_0_0_0_1_1_1_1_1_0_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.2987012987012987,1000.0
1_1_0_0_0_1_0_0_0_1_1_0_0_1_1_1_1_1_0_0,0,3.3333333333333335e-5,4.7140452079103176e-5,0.36363636363636365,1000.0
0_0_0_0_0_0_1_0_0_1_0_0_0_1_1_1_1_1_1_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.22077922077922077,1000.0
0_1_0_0_0_1_0_0_0_1_0_0_0_1_1_1_1_1_0_1,0,3.3333333333333335e-5,4.7140452079103176e-5,0.35064935064935066,1000.0
