states,flag,Avg0,SD0,frust0,time
0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_0,1,0.34559,0.002125135289810969,0.013333333333333334,129.6458987254728
1_2_2_2_2_2_2_2_2_2_2_2_2_1_1_1_1_1_1,1,0.14961666666666668,0.001473529398718907,0.0033333333333333335,120.0473041814591
3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_3,1,0.3425566666666667,0.0016215287711155647,0.013333333333333334,129.27297745012518
2_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_2,1,0.15086333333333335,0.002122488057812239,0.0033333333333333335,120.43499904978243
1_1_1_0_1_2_2_1_2_3_1_1_1_3_2_2_2_2_2,1,0.0004,7.071067811865475e-5,0.09333333333333334,81.88571428571429
1_2_1_2_2_2_2_1_2_2_2_1_1_1_2_2_2_2_1,1,0.0019233333333333333,8.806563209081941e-5,0.07333333333333333,96.29821394999061
1_2_1_2_2_2_2_1_2_3_2_1_1_1_2_2_2_2_2,1,0.0014633333333333332,4.784233364802434e-5,0.09,107.32868068980332
0_2_2_3_2_1_1_2_1_0_2_2_2_0_1_1_1_1_1,1,4.333333333333334e-5,4.714045207910317e-6,0.11,59.333333333333336
2_1_2_1_1_1_1_2_1_0_1_2_2_2_1_1_1_1_1,1,0.00155,8.640987597877143e-5,0.09,106.62530997060458
1_2_2_3_2_1_1_2_1_0_2_2_2_0_1_1_1_1_1,1,0.00025,1.4142135623730936e-5,0.09333333333333334,82.79821627647715
2_1_2_1_1_1_1_2_1_1_1_2_2_2_1_1_1_1_2,1,0.0021366666666666665,2.8674417556808832e-5,0.07333333333333333,97.50327078876973
1_1_1_1_1_2_2_1_2_3_1_1_1_2_2_2_2_2_2,1,0.0005866666666666668,8.956685895029602e-5,0.08666666666666667,85.12078531796841
2_1_2_1_1_1_1_2_1_1_1_1_2_2_2_0_2_0_2,1,0.00046666666666666666,3.3993463423951894e-5,0.08666666666666667,82.49166666666666
1_2_1_2_2_2_2_1_2_2_2_1_2_1_2_3_1_3_1,1,6.333333333333333e-5,1.699673171197595e-5,0.09333333333333334,75.59523809523809
1_1_1_1_1_2_2_1_2_3_2_1_2_2_2_2_1_1_2,1,1.0e-5,0.0,0.11,63.333333333333336
3_2_2_3_2_1_1_2_1_0_2_2_2_0_1_1_1_1_1,1,5.333333333333334e-5,3.091206165165235e-5,0.11,51.72619047619048
2_2_2_2_2_1_1_2_1_0_2_2_2_1_1_1_1_1_1,1,0.0005633333333333333,1.2472191289246467e-5,0.08666666666666667,84.21133751306165
3_1_1_0_1_2_2_1_2_3_1_1_1_3_2_2_2_2_2,1,3.666666666666667e-5,1.2472191289246472e-5,0.11,86.66666666666667
0_1_1_0_1_2_2_1_2_3_1_1_1_3_2_2_2_2_2,1,4.333333333333334e-5,1.2472191289246472e-5,0.11,87.22222222222221
