states,MRT,MRTsd
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_0_1_0,0.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_0_1_0,0.02,0.13999999999999999
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0,0.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_0_1_1,0.0,0.0
0_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0,0.0,0.0
1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1_1_1,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_1_1_0_0_0_0_0_1_1_1,0.0,0.0
1_0_1_0_0_0_0_1_0_0_0_1_0_1_0_0_0_0_0_1_1_1,1.0e-6,9.9498743710662e-6
1_0_1_0_1_0_0_1_0_0_0_1_0_1_0_0_0_0_0_1_1_1,1.0000000000000001e-7,9.9498743710662e-7
1_0_1_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_1_1,6.0e-7,5.969924622639721e-6
1_0_1_0_1_0_0_1_1_0_0_0_0_1_0_0_0_0_0_1_1_1,2.0000000000000002e-7,1.98997487421324e-6
1_0_1_0_1_0_0_1_1_0_0_0_0_1_0_0_0_0_0_1_0_1,1.2e-6,1.1939849245279441e-5
1_0_1_0_1_0_0_1_1_0_0_1_0_1_0_0_0_0_0_1_0_1,7.0e-7,6.964912059746338e-6
1_0_1_0_1_0_0_1_1_0_1_1_0_1_0_0_0_0_0_1_0_1,9.000000000000001e-7,6.647555941848102e-6
0_0_1_0_1_0_0_1_1_0_1_1_0_1_0_0_0_0_0_1_0_1,9.000000000000001e-7,8.95488693395958e-6
