states,flag,Avg0,SD0,frust0,time
'3_0_0_0_0_0_0_0_0_0_0_0_0_3_3_3_3_3_1_1_3_1',1,0.23793333333333333,0.0023837412238374763,0.012195121951219513,148.22824621543717
'1_2_2_2_2_2_2_2_2_2_2_2_2_1_1_1_1_1_1_1_1_1',1,0.26566666666666666,0.0028581268146968047,0.003048780487804878,132.0429415963076
'0_3_3_3_3_3_3_3_3_3_3_3_3_0_0_0_0_0_1_1_0_1',1,0.23063333333333333,0.0015084944665312923,0.012195121951219513,147.90110089161172
'2_1_1_1_1_1_1_1_1_1_1_1_1_2_2_2_2_2_1_1_2_1',1,0.26576666666666665,0.0022425184255405657,0.003048780487804878,132.24174996217394
